ID,Date,LEAVE,LVETIME,ARRIVE,ARRTIME,EQUIP,FAACARR,SEATS
0,2008-08-01,JFK,900,LAX,1155,B762,AAL,158
1,2008-08-07,JFK,900,LAX,1155,B762,AAL,158
2,2008-08-06,JFK,900,LAX,1155,B762,AAL,158
3,2008-08-13,JFK,900,LAX,1155,B762,AAL,158
4,2008-08-05,JFK,900,LAX,1155,B762,AAL,158
5,2008-08-12,JFK,900,LAX,1155,B762,AAL,158
6,2008-08-14,JFK,900,LAX,1155,B762,AAL,158
7,2008-08-04,JFK,900,LAX,1155,B762,AAL,158
8,2008-08-11,JFK,900,LAX,1155,B762,AAL,158
9,2008-08-02,JFK,900,LAX,1155,B762,AAL,158
10,2008-08-03,JFK,900,LAX,1155,B762,AAL,158
11,2008-08-08,JFK,900,LAX,1155,B762,AAL,158
12,2008-08-09,JFK,900,LAX,1155,B762,AAL,158
13,2008-08-10,JFK,900,LAX,1155,B762,AAL,158
14,2008-08-06,LAX,930,JFK,1810,B762,AAL,158
15,2008-08-07,LAX,930,JFK,1810,B762,AAL,158
16,2008-08-08,LAX,930,JFK,1810,B762,AAL,158
17,2008-08-09,LAX,930,JFK,1810,B762,AAL,158
18,2008-08-10,LAX,930,JFK,1810,B762,AAL,158
19,2008-08-01,LAX,930,JFK,1810,B762,AAL,158
20,2008-08-02,LAX,930,JFK,1810,B762,AAL,158
21,2008-08-03,LAX,930,JFK,1810,B762,AAL,158
22,2008-08-04,LAX,930,JFK,1810,B762,AAL,158
23,2008-08-05,LAX,930,JFK,1810,B762,AAL,158
24,2008-08-11,LAX,930,JFK,1810,B762,AAL,158
25,2008-08-12,LAX,930,JFK,1810,B762,AAL,158
26,2008-08-13,LAX,930,JFK,1810,B762,AAL,158
27,2008-08-14,LAX,930,JFK,1810,B762,AAL,158
28,2008-08-07,JFK,1200,LAX,1450,B762,AAL,158
29,2008-08-08,JFK,1200,LAX,1450,B762,AAL,158
30,2008-08-09,JFK,1200,LAX,1450,B762,AAL,158
31,2008-08-06,JFK,1200,LAX,1450,B762,AAL,158
32,2008-08-11,JFK,1200,LAX,1450,B762,AAL,158
33,2008-08-12,JFK,1200,LAX,1450,B762,AAL,158
34,2008-08-01,JFK,1200,LAX,1450,B762,AAL,158
35,2008-08-02,JFK,1200,LAX,1450,B762,AAL,158
36,2008-08-04,JFK,1200,LAX,1450,B762,AAL,158
37,2008-08-05,JFK,1200,LAX,1450,B762,AAL,158
38,2008-08-14,JFK,1200,LAX,1450,B762,AAL,158
39,2008-08-03,JFK,1200,LAX,1450,B762,AAL,158
40,2008-08-10,JFK,1200,LAX,1450,B762,AAL,158
41,2008-08-13,JFK,1200,LAX,1450,B762,AAL,158
42,2008-08-06,LAX,1205,JFK,2045,B762,AAL,158
43,2008-08-07,LAX,1205,JFK,2045,B762,AAL,158
44,2008-08-08,LAX,1205,JFK,2045,B762,AAL,158
45,2008-08-09,LAX,1205,JFK,2045,B762,AAL,158
46,2008-08-10,LAX,1205,JFK,2045,B762,AAL,158
47,2008-08-01,LAX,1205,JFK,2045,B762,AAL,158
48,2008-08-02,LAX,1205,JFK,2045,B762,AAL,158
49,2008-08-03,LAX,1205,JFK,2045,B762,AAL,158
50,2008-08-04,LAX,1205,JFK,2045,B762,AAL,158
51,2008-08-05,LAX,1205,JFK,2045,B762,AAL,158
52,2008-08-11,LAX,1205,JFK,2045,B762,AAL,158
53,2008-08-12,LAX,1205,JFK,2045,B762,AAL,158
54,2008-08-13,LAX,1205,JFK,2045,B762,AAL,158
55,2008-08-14,LAX,1205,JFK,2045,B762,AAL,158
56,2008-08-06,LAX,2130,JFK,550,B762,AAL,158
57,2008-08-07,LAX,2130,JFK,550,B762,AAL,158
58,2008-08-08,LAX,2130,JFK,550,B762,AAL,158
59,2008-08-09,LAX,2130,JFK,550,B762,AAL,158
60,2008-08-10,LAX,2130,JFK,550,B762,AAL,158
61,2008-08-01,LAX,2130,JFK,550,B762,AAL,158
62,2008-08-02,LAX,2130,JFK,550,B762,AAL,158
