p,H0,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23
0.09550561797752809,78.0735294118,77.9852941176,77.9852941176,77.9852941176,77.9852941176,78.1911764706,78.8235294118,79.1764705882,81.2058823529,81.2794117647,77.0147058824,75.1470588235,75.2058823529,77.1323529412,79.0735294118,80.0588235294,80.8970588235,86.0294117647,87.3529411765,87.8676470588,87.8235294118,86.8970588235,85.1470588235,84.2058823529
0.08426966292134831,86.9,87.0,87.0,87.0,87.0,87.0,86.2666666667,80.8833333333,82.8,82.65,80.2166666667,78.3,78.7666666667,80.25,81.7,81.5166666667,80.8166666667,80.1666666667,77.8666666667,76.75,76.5833333333,76.7833333333,76.6666666667,76.7
0.11095505617977527,78.6962025316,78.3924050633,78.3544303797,78.3544303797,78.3544303797,78.3544303797,79.5189873418,82.253164557,86.3797468354,86.835443038,85.4936708861,84.5443037975,85.1012658228,85.8227848101,86.7088607595,86.9493670886,87.417721519,88.5063291139,88.6329113924,88.5189873418,88.4430379747,88.2911392405,87.3037974684,87.164556962
0.05758426966292135,66.8780487805,66.4634146341,66.4634146341,66.5609756098,66.9756097561,66.756097561,66.7804878049,74.7317073171,81.9268292683,82.7073170732,80.4146341463,79.1463414634,79.5365853659,81.9024390244,83.6585365854,84.2926829268,85.2195121951,88.3170731707,89.4390243902,89.9268292683,89.8048780488,89.4146341463,88.243902439,87.3414634146
0.0449438202247191,83.8125,83.8125,83.8125,83.8125,83.8125,82.0625,81.5625,69.6875,69.1875,70.15625,70.15625,69.875,71.4375,74.125,76.5,77.875,77.96875,80.875,82.46875,83.25,84.3125,83.0625,82.5625,82.40625
0.0449438202247191,91.875,91.875,91.875,91.875,91.875,91.875,90.21875,86.5,90.3125,90.53125,91.59375,92.375,92.28125,91.84375,91.40625,91.03125,90.96875,90.5,89.1875,89.15625,88.625,86.625,85.9375,85.5625
0.04073033707865169,85.9310344828,85.9310344828,85.9310344828,85.9310344828,85.9310344828,85.4482758621,83.8620689655,72.5172413793,74.3793103448,74.6551724138,72.0,70.275862069,70.4137931034,70.0,69.3103448276,69.3448275862,69.3448275862,69.1724137931,69.5862068966,69.724137931,69.5862068966,69.8965517241,70.2413793103,70.1724137931
0.1404494382022472,76.26,76.19,76.19,76.19,76.19,76.31,76.9,80.66,85.81,86.68,85.47,83.57,83.52,83.91,83.61,83.45,83.51,84.24,83.5,83.2,82.49,80.58,78.61,78.31
0.1348314606741573,85.5208333333,85.5729166667,85.7395833333,85.7395833333,85.59375,85.4479166667,85.0208333333,81.8229166667,84.9583333333,85.8020833333,84.1770833333,82.7604166667,82.6770833333,83.59375,83.9895833333,84.03125,84.0833333333,85.3333333333,85.2708333333,85.1041666667,84.1979166667,81.46875,78.4270833333,77.5729166667
0.08707865168539326,74.4677419355,74.3387096774,74.3387096774,74.3387096774,74.3387096774,74.435483871,74.6612903226,76.8225806452,79.1290322581,80.4032258065,77.6935483871,76.0967741935,76.1935483871,77.435483871,79.3064516129,80.3225806452,80.0161290323,79.2096774194,78.1451612903,77.6129032258,76.5967741935,76.8548387097,76.5806451613,76.5806451613
0.15870786516853932,87.6814159292,87.6637168142,87.610619469,87.4424778761,87.3805309735,87.3451327434,86.6814159292,83.6283185841,85.7079646018,85.9292035398,83.592920354,81.6194690265,82.610619469,83.7433628319,84.6283185841,85.3097345133,85.796460177,87.7168141593,88.0973451327,88.1769911504,88.1681415929,88.389380531,88.203539823,88.0442477876
